192.168.1.10 - - [10/Oct/2024:13:55:36 +0000] "GET /index.html HTTP/1.1" 200 2326 "-" "Mozilla/5.0" 12
192.168.1.10 - alice [10/Oct/2024:13:55:37 +0000] "POST /api/login HTTP/1.1" 200 512 "https://example.com/" "Mozilla/5.0 (X11; Linux x86_64)" 87
10.0.0.4 - - [10/Oct/2024:13:55:38 +0000] "GET /static/app.css HTTP/1.1" 200 9821 "-" "Mozilla/5.0" 4
10.0.0.4 - - [10/Oct/2024:13:55:38 +0000] "GET /static/app.js HTTP/1.1" 200 51223 "-" "Mozilla/5.0" 6
10.0.0.4 - - [10/Oct/2024:13:55:39 +0000] "GET /api/users/42 HTTP/1.1" 200 1820 "-" "curl/8.4" 32
198.51.100.7 - - [10/Oct/2024:13:55:42 +0000] "GET /admin HTTP/1.1" 401 73 "-" "python-requests/2.31" 8
198.51.100.7 - - [10/Oct/2024:13:55:43 +0000] "GET /admin/login HTTP/1.1" 200 1503 "-" "python-requests/2.31" 12
198.51.100.7 - - [10/Oct/2024:13:55:44 +0000] "POST /admin/login HTTP/1.1" 401 73 "-" "python-requests/2.31" 9
198.51.100.7 - - [10/Oct/2024:13:55:45 +0000] "POST /admin/login HTTP/1.1" 401 73 "-" "python-requests/2.31" 11
192.168.1.11 - - [10/Oct/2024:13:55:50 +0000] "GET /api/items?limit=50 HTTP/1.1" 200 18223 "-" "Mozilla/5.0" 145
192.168.1.11 - - [10/Oct/2024:13:55:51 +0000] "GET /api/items/100 HTTP/1.1" 404 35 "-" "Mozilla/5.0" 7
192.168.1.11 - - [10/Oct/2024:13:55:52 +0000] "GET /api/search?q=foo HTTP/1.1" 200 3420 "-" "Mozilla/5.0" 312
192.168.1.11 - - [10/Oct/2024:13:55:53 +0000] "GET /api/search?q=bar HTTP/1.1" 500 89 "-" "Mozilla/5.0" 540
this is not a valid log line at all
192.168.1.12 - - [10/Oct/2024:13:55:55 +0000] "GET /api/items HTTP/1.1" 200 - "-" "Mozilla/5.0" 22
# format changed below — new structured logger
2024-10-10T13:56:00.123Z [INFO] 203.0.113.45 "GET /index.html HTTP/1.1" 200 2326 9ms
2024-10-10T13:56:01.512Z [INFO] 203.0.113.45 "GET /api/users HTTP/1.1" 200 1024 41ms
2024-10-10T13:56:02.998Z [WARN] 203.0.113.99 "POST /api/checkout HTTP/1.1" 500 220 1240ms
2024-10-10T13:56:03.001Z [INFO] 203.0.113.45 "GET /static/img/logo.png HTTP/1.1" 304 0 2ms
2024-10-10T13:56:04.221Z [INFO] 203.0.113.46 GET /api/items 200 31ms
2024-10-10T13:56:05.500Z [INFO] 203.0.113.46 GET /api/items/1 200 18ms
2024-10-10T13:56:06.800Z [ERROR] 203.0.113.99 "POST /api/checkout HTTP/1.1" 500 220 2010ms
2024-10-10T13:56:07.900Z [INFO] 203.0.113.50 "GET /healthz HTTP/1.1" 200 2 1ms
2024-10-10T13:56:08.910Z [INFO] 203.0.113.50 "GET /healthz HTTP/1.1" 200 2 1ms
   
2024-10-10T13:56:10.000Z [INFO] 203.0.113.51 "PUT /api/users/42 HTTP/1.1" 204 0 73ms
something went terribly wrong here -- malformed line with random text 12345
2024-10-10T13:56:12.000Z [INFO] 203.0.113.52 "DELETE /api/users/42 HTTP/1.1" 403 41 12ms
2024-10-10T13:56:13.000Z [INFO] 203.0.113.52 "GET /api/users HTTP/1.1" 200 1024 28ms
2024-10-10T13:56:14.000Z [INFO] 203.0.113.99 "POST /api/checkout HTTP/1.1" 500 220 1812ms
2024-10-10T13:56:15.000Z [INFO] 203.0.113.99 "POST /api/checkout HTTP/1.1" 500 220 1605ms
2024-10-10T13:56:16.000Z [INFO] 203.0.113.99 "POST /api/checkout HTTP/1.1" 200 320 320ms
